date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:50	5146/5146	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202026%2022:34:28%20GMT	https://dadus.co.in/cdn/shop/t/16/compiled_assets/scripts.js?v=87213176535181526041775727826	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/compiled_assets/scripts07b0.js	(from https://dadus.co.in/)
01:31:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:51%20GMT	http://dadus.co.in/cdn/fonts/montserrat/montserrat_n4.81949fa0ac9fd2021e16436151e8eaa539321637.woff2	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_n4.81949fa0ac9fd2021e16436151e8eaa539321637.1c.delayed	(from https://dadus.co.in/)
01:31:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:53%20GMT	http://dadus.co.in/cdn/fonts/montserrat/montserrat_n4.a6c632ca7b62da89c3594789ba828388aac693fe.woff	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_n4.a6c632ca7b62da89c3594789ba828388aac693fe.woff	(from https://dadus.co.in/)
01:31:52	19428/19428	---M--	200	added ('OK')	font/woff2	date:Wed,%2013%20May%202026%2007:57:33%20GMT	https://dadus.co.in/cdn/fonts/montserrat/montserrat_n4.81949fa0ac9fd2021e16436151e8eaa539321637.woff2	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_n4.81949fa0ac9fd2021e16436151e8eaa539321637.woff2	(from https://dadus.co.in/)
01:31:53	19320/19320	---M--	200	added ('OK')	font/woff2	date:Tue,%2002%20Jun%202026%2018:34:46%20GMT	https://dadus.co.in/cdn/fonts/montserrat/montserrat_n4.a6c632ca7b62da89c3594789ba828388aac693fe.woff	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_n4.a6c632ca7b62da89c3594789ba828388aac693fe.woff	(from https://dadus.co.in/)
01:31:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:54%20GMT	http://dadus.co.in/cdn/fonts/montserrat/montserrat_n7.3c434e22befd5c18a6b4afadb1e3d77c128c7939.woff2	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_n7.3c434e22befd5c18a6b4afadb1e3d77c128c7939.woff2	(from https://dadus.co.in/)
01:31:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:55%20GMT	http://dadus.co.in/cdn/fonts/montserrat/montserrat_n7.5d9fa6e2cae713c8fb539a9876489d86207fe957.woff	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_n7.5d9fa6e2cae713c8fb539a9876489d86207fe957.woff	(from https://dadus.co.in/)
01:31:54	19724/19724	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Jun%202026%2021:36:34%20GMT	https://dadus.co.in/cdn/fonts/montserrat/montserrat_n7.3c434e22befd5c18a6b4afadb1e3d77c128c7939.woff2	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_n7.3c434e22befd5c18a6b4afadb1e3d77c128c7939.woff2	(from https://dadus.co.in/)
01:31:54	19712/19712	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20May%202026%2021:39:40%20GMT	https://dadus.co.in/cdn/fonts/montserrat/montserrat_n7.5d9fa6e2cae713c8fb539a9876489d86207fe957.woff	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_n7.5d9fa6e2cae713c8fb539a9876489d86207fe957.woff	(from https://dadus.co.in/)
01:31:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:55%20GMT	http://dadus.co.in/cdn/fonts/montserrat/montserrat_i4.5a4ea298b4789e064f62a29aafc18d41f09ae59b.woff2	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_i4.5a4ea298b4789e064f62a29aafc18d41f09ae59b.woff2	(from https://dadus.co.in/)
01:31:55	19916/19916	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Jun%202026%2017:32:34%20GMT	https://dadus.co.in/cdn/fonts/montserrat/montserrat_i4.5a4ea298b4789e064f62a29aafc18d41f09ae59b.woff2	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_i4.5a4ea298b4789e064f62a29aafc18d41f09ae59b.woff2	(from https://dadus.co.in/)
01:31:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:56%20GMT	http://dadus.co.in/cdn/fonts/montserrat/montserrat_i4.072b5869c5e0ed5b9d2021e4c2af132e16681ad2.woff	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_i4.072b5869c5e0ed5b9d2021e4c2af132e16681ad2.woff	(from https://dadus.co.in/)
01:31:56	19812/19812	---M--	200	added ('OK')	font/woff2	date:Wed,%2029%20Apr%202026%2019:18:42%20GMT	https://dadus.co.in/cdn/fonts/montserrat/montserrat_i4.072b5869c5e0ed5b9d2021e4c2af132e16681ad2.woff	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_i4.072b5869c5e0ed5b9d2021e4c2af132e16681ad2.woff	(from https://dadus.co.in/)
01:31:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:57%20GMT	http://dadus.co.in/cdn/fonts/montserrat/montserrat_i7.a0d4a463df4f146567d871890ffb3c80408e7732.woff2	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_i7.a0d4a463df4f146567d871890ffb3c80408e7732.woff2	(from https://dadus.co.in/)
01:31:57	20384/20384	---M--	200	added ('OK')	font/woff2	date:Thu,%2011%20Jun%202026%2000:17:27%20GMT	https://dadus.co.in/cdn/fonts/montserrat/montserrat_i7.a0d4a463df4f146567d871890ffb3c80408e7732.woff2	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_i7.a0d4a463df4f146567d871890ffb3c80408e7732.woff2	(from https://dadus.co.in/)
